,store_name,branch,area,tel,address,latitude,longitude,category,review_cnt,big_cate,mean_score,store,lifestyle,ratio,map_lifestyle,detail_lifestyle
0,레이어드,,서울중구,,서울특별시 종로구 재동 84-14,37.577763,126.985925,스콘|카페,23,카페,3.869565217,121216,커피 한잔의 낭만파,0.920799971,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
1,에프스토리,,서울양천구,02-2653-6963,서울특별시 양천구 목1동 406-291,37.52544,126.873131,디저트카페|카페,5,카페,4.2,277538,커피 한잔의 낭만파,0.920799971,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
2,가드너스,,경기파주시,010-2086-6311,경기도 파주시 탄현면 법흥리 1652-116,37.789616,126.696104,베이커리|카페,1,카페,3,11872,커피 한잔의 낭만파,0.906499982,빵투어 한번 갈까요?,빵투어 한번 갈까요?
3,VSANT,,부산사상구,051-326-8080,부산광역시 사상구 엄궁동 651-42,35.123683,128.962448,루프탑|카페,3,카페,5,11324,커피 한잔의 낭만파,0.904999971,분위기 좋은 루프탑 카페,분위기 좋은 루프탑 카페를 찾는다면 여기지~
4,뚜아에모아,,서울마포구,02-322-4840,서울특별시 마포구 서교동 399-13,37.54954,126.918603,브런치카페|프렌치토스트,1,카페,5,116457,커피 한잔의 낭만파,0.904999971,브런치는 여기서~,오늘은 브런치 어때?
5,졸리연남,,서울마포구,02-332-5955,서울특별시 마포구 동교동 113-7,37.560985,126.9264,브런치카페|프렌치토스트,0,카페,4,354566,커피 한잔의 낭만파,0.904999971,브런치는 여기서~,오늘은 브런치 어때?
6,180커피로스터스,,경기성남시분당구,031-284-1180,경기도 성남시 분당구 율동 323-9,37.382561,127.151573,커피|카페,2,카페,3.5,563,커피 한잔의 낭만파,0.894400001,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
7,롱브레드,,경기용인시기흥구,031-8009-0294,경기도 용인시 기흥구 중동 31-5,37.2577,127.16,브런치|샌드위치,6,카페,3.666666667,123707,커피 한잔의 낭만파,0.894400001,브런치는 여기서~,오늘은 브런치 어때?
8,레어마카롱,,서울송파구,070-7717-6809,서울특별시 송파구 송파동 58-4,37.511353,127.108852,마카롱|말차,7,카페,3.571428571,121153,커피 한잔의 낭만파,0.894400001,달달한거 먹고싶으면 여기로~,달달한게 땡긴다? 여기로 가자!
9,망우로30,,서울동대문구,010-3380-2386,서울특별시 동대문구 휘경동 317-60,37.588024,127.056819,카페|스콘,3,카페,4,138140,커피 한잔의 낭만파,0.894400001,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
10,쓰리버즈,,서울영등포구,02-6137-3031,서울특별시 영등포구 여의도동 23,37.524999,126.92531,브런치카페|카페,2,카페,4,258017,커피 한잔의 낭만파,0.894400001,브런치는 여기서~,오늘은 브런치 어때?
11,브릭스블럭482,,강원속초시,033-631-0031,강원도 속초시 중앙동 482-248,38.201694,128.591172,카페,2,카페,4.5,195141,커피 한잔의 낭만파,0.894400001,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
12,아자방,,경북청도군,054-371-2144,경상북도 청도군 각북면 남산리 1460-19,35.684853,128.590508,한옥카페|카페,1,카페,4,262946,커피 한잔의 낭만파,0.894400001,한옥 갬성 카페,한옥 감성 느끼고 싶다면 여기로!
13,바다정원,,강원고성군,033-636-1096,강원도 고성군 토성면 용촌리 59-1,38.230976,128.583677,카페|커피,7,카페,4.142857143,164208,커피 한잔의 낭만파,0.894400001,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
14,꼬지따뽕,,전북전주시완산구,063-288-2277,전라북도 전주시 완산구 교동 50-86,35.814099,127.157356,꼬지|카페,1,카페,4,56739,커피 한잔의 낭만파,0.881200016,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
15,무명일기,,부산영도구,070-7347-8069,부산광역시 영도구 봉래동2가 145-1,35.096435,129.043433,카페|디저트,2,카페,3,152554,커피 한잔의 낭만파,0.881200016,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
16,레드엘커피,,대전동구,042-622-1669,대전광역시 동구 용전동 143-13,36.349,127.435,갤러리카페|카페,2,카페,4.5,120837,커피 한잔의 낭만파,0.881200016,갤러리 카페는 어때요?,평소와 다르게 색다른 카페는 어때?!
17,만랩커피,창동역점,서울도봉구,02-998-1002,서울특별시 도봉구 창동 74-7,37.652622,127.04648,커피|카페,1,카페,3,132806,커피 한잔의 낭만파,0.881200016,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
18,멜팅샵,신사점,서울강남구,02-544-4256,서울특별시 강남구 신사동 647-19,37.524973,127.036174,이탈리아음식,9,"피자,파스타,스테이크",3.777777778,143862,가성비 맛집 헌터파,0.881200016,이탈리안 레스토랑 가볼까?,피자? 파스타? 다양하게 있으니 뭐든 골라!
19,까페 호반풍경,,충북옥천군,010-9736-3004,충북 옥천군 군북면 소정리 17,36.368879,127.612174,커피|카페,1,카페,4,54602,커피 한잔의 낭만파,0.881200016,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
20,시루애월,,제주제주시,064-799-0499,제주특별자치도 제주시 애월읍 장전리 634-1,33.442725,126.391844,브런치카페|카페,1,카페,4,247106,커피 한잔의 낭만파,0.881200016,브런치는 여기서~,오늘은 브런치 어때?
21,12안젤로,,강원원주시,033-748-8253,강원도 원주시 단계동 1115-3,37.347786,127.926871,눈꽃빙수|카페,3,카페,4.666666667,389,커피 한잔의 낭만파,0.881200016,빙수는 언제나 맛있지!,언제먹어도 맛있는 빙수맛집~
22,알베르,,서울강남구,02-566-6181,서울특별시 강남구 역삼동 618-11,37.50307,127.028079,티라미수|카페,31,카페,3.677419355,266128,커피 한잔의 낭만파,0.881200016,디저트 뿌수러가자~,케이크 뿌수러 같이 안갈래?!
23,서울커피상회,,서울중구,02-725-1205,서울특별시 종로구 누하동 21-1,37.580189,126.968905,말차|카페,5,카페,3.6,218806,커피 한잔의 낭만파,0.864300013,말차 맛집은 여기라구!,"분위기 좋은 카페, 여기있지~"
24,안녕커피씨,,경기시흥시,031-506-7867,경기도 시흥시 대야동 466-19,37.446116,126.788445,커피|카페,1,카페,4,264417,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
25,모노클,,대구중구,,대구광역시 중구 공평동 80-2,35.8693,128.6,스콘|카페,1,카페,5,148383,커피 한잔의 낭만파,0.864300013,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
26,아지티,,경기파주시,031-948-2367,경기도 파주시 와동동 1642-5,37.736907,126.751905,커피|카페,1,카페,3,263453,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
27,더아양,,대구동구,053-941-6161,대구광역시 동구 효목1동 1088-2,35.880764,128.651979,브런치카페|카페,3,카페,3.666666667,90785,커피 한잔의 낭만파,0.864300013,브런치는 여기서~,오늘은 브런치 어때?
28,바네스데코 카페,,대전서구,070-5117-0540,대전광역시 서구 가수원동 1057,36.305246,127.351821,핸드메이드|카페,8,카페,4.875,163402,커피 한잔의 낭만파,0.864300013,핸드메이드 커피파는 곳,핸드드롭 커피로 풍미 up~
29,SURELY,,대구달성군,010-9363-7071,대구광역시 달성군 다사읍 죽곡리 686,35.845097,128.464996,카페,1,카페,4,10747,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
30,OFFER COFFEE,,경기평택시,070-8822-2006,경기도 평택시 비전동 1045-1,37.003251,127.110876,카페|라즈베리,2,카페,3.5,9980,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
31,골든마우스,,서울서초구,02-588-1008,서울특별시 서초구 서초동 1566-3,37.489896,127.013049,브런치|카페,3,카페,3.666666667,31522,커피 한잔의 낭만파,0.864300013,브런치는 여기서~,오늘은 브런치 어때?
32,모든사람들,,경기부천시,032-665-5230,경기도 부천시 송내동 347-1 2층,37.487262,126.755492,카페,3,카페,5,148752,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
33,당도,,경남통영시,055-645-5333,경상남도 통영시 광도면 죽림리 1573-2,34.8843,128.42,카페,4,카페,5,81273,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
34,아모르미오,,서울관악구,070-8229-1456,서울특별시 관악구 봉천동 1679-7,37.479099,126.960112,스콘|카페,9,카페,3.555555556,260808,커피 한잔의 낭만파,0.864300013,디저트 뿌수러가자~,맛있는 디저트로 완벽하게 마무리 가즈아~
35,더테라스,,경기안양시만안구,031-689-4540,경기도 안양시 만안구 석수동 212-1,37.418331,126.918186,레스토랑|카페,3,카페,4.333333333,92009,커피 한잔의 낭만파,0.864300013,브런치는 여기서~,"분위기 좋은 카페, 여기있지~"
36,마를리,,서울성동구,02-467-0303,서울특별시 성동구 성수동2가 315-55,37.542881,127.054785,케이크|카페,5,카페,3.6,127893,커피 한잔의 낭만파,0.864300013,디저트 뿌수러가자~,케이크 뿌수러 같이 안갈래?!
37,오라델떼,,경기부천시,0507-1302-7759,경기도 부천시 상동 529-38,37.507532,126.744229,카페,1,카페,5,290486,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
38,비비스토리,,경기군포시,031-395-6777,경기도 군포시 산본동 1125-2,37.360564,126.932576,브런치카페|퀘사디아,1,카페,4,196668,커피 한잔의 낭만파,0.864300013,브런치는 여기서~,오늘은 브런치 어때?
39,까슈,,서울성북구,,서울특별시 성북구 동선동2가 135-10,37.590988,127.019551,한옥카페|카페,3,카페,1.666666667,54312,커피 한잔의 낭만파,0.864300013,한옥 갬성 카페,한옥 감성 느끼고 싶다면 여기로!
40,더티트렁크,,경기파주시,010-4621-9527,경기 파주시 문발동 75-6,37.728443,126.70292,카페,20,카페,3.95,92061,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
41,arvo,,서울용산구,02-797-0998,서울특별시 용산구 이태원동 34-118,37.5326,126.991,카페,1,카페,5,4711,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
42,조이점프,,경기구리시,031-565-7600,경기도 구리시 토평동 275-4,37.5869,127.148,키즈카페,0,카페,4,353520,커피 한잔의 낭만파,0.864300013,아기들과 함께!,평소와 다르게 색다른 카페는 어때?!
43,시집,,전북전주시완산구,010-7640-8787,전라북도 전주시 완산구 평화동3가 584-6,35.776435,127.115829,카페,1,카페,4,247943,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,"분위기 좋은 카페, 여기있지~"
45,엘리펀트커피,,서울강동구,02-488-2039,서울특별시 강동구 둔촌2동 53-3,37.534242,127.143829,커피|카페,1,카페,4,278518,커피 한잔의 낭만파,0.864300013,분위기 좋은 카페 여기있지~,커피가 맛있는 카페!
