,store,store_name,branch,user,content,score,big_cate
2,19,한옥마을 전주비빔밥,향남점,68716,"['홈플러스', '매장', '푸드코트', '매장', '계란찜', '정식', '처음', '보고', '늘다', '사진', '그대로', '치즈', '넘치다', '흐르다', '계란찜', '메인', '치즈', '금방', '아쉽다', '평범하다', '재미', '가성', '갠차다']",4,한식
40,148,101번지 남산돈까스,롯데몰수지점,49742,"['수지', '롯데', '몰다', '돈까스', '체인점', '돈까스', '고추', '보고', '지점', '뚝배기', '떡볶이', '매다', '정식', '함박스테이크', '빼다', '맛있다']",4,"돈가스,회,일식"
41,148,101번지 남산돈까스,롯데몰수지점,157628,"['유명', '맛집', '롯데', '몰다', '입점', '되어다', '방문', '기본', '시간', '60분', '\n\n', '잔뜩', '기대', '메뉴', '주문', '소감', '쏘다', '쏘이다', '일단', '돈까스', '바삭', '튀기다', '감다', '뿌리다', '소스', '작다', '추가', '달라', '남산', '이드', '치즈', '돈까스', '치즈', '많다', '일반', '근데', '점수', '이유', '함박', '냉동', '함박', '기성품', '떡갈비', '최악', '테이블', '박다', '남다', '돈까스', '유명하다', '이렇다', '박다', '메뉴', '빼다', '소스', '걸쭉', '찐득하다', '느낌', '짜다', '박다', '최악', '웬만하다', '정식', '\n\n', '유명', '맛집', '가맹', '퀄리티', '떨어지다', '높이', '이르다', '외식산업', '점점', '퇴보하다', '걱정']",3,"돈가스,회,일식"
56,151,101번지남산돈까스,갤러리아백화점 수원점,913037,"['갤러리아', '백화점', '지하', '돈까스', '메뉴', '다양하다']",3,"돈가스,회,일식"
57,151,101번지남산돈까스,갤러리아백화점 수원점,197936,"['수원', '갤러리아', '지하', '푸드코트', '쫄면', '★★★★☆', '양도', '많다', '맛있다', '미니', '돈까스', '★★★★☆', '돈가스', '맛있다']",4,"돈가스,회,일식"
58,152,101번지남산돈까스,안녕인사동점,51405,"['재방률', '70%', '비계', '씹히다', '지도', '모르다', '최소', '번은', '씹히다', '맥주', '위생', '관리', '의심', '해보다', '만하', '먼지', '아마', '수세미', '소독', '제일', '확률', '가장', '크다', '비판', '장점', '몇개', '뽑다', '소스', '은근', '매력', '약간', '땅콩', '메리트', '확실하다', '스프', '맛있다', '돈까스', '관련', '메뉴', '많다', '선택', '넓다', '마치', '돈까스', '백화점', '기분', '설레다', '잊다', '설레다']",3,"돈가스,회,일식"
59,154,101번지남산돈까스,현대시티아울렛가산점,178016,"['치즈', '돈까스', '맵다', '소스', '뿌리다', '맛있다', '쫄면', '콩나물', '쫄면', '맛있다', '쫄면', '비싸다']",3,"돈가스,회,일식"
60,154,101번지남산돈까스,현대시티아울렛가산점,220136,"['친절', '보통', '음식', '짜다', '느끼하다', '소스', '생강', '평범하다', '보통', '분식집', '대비', '아쉽다']",3,"돈가스,회,일식"
90,239,10페이지,한양대1호점,237668,"['과일', '주스', '종류', '차다', '많다', '분위기']",5,카페
91,239,10페이지,한양대1호점,391794,"['주얼', '분위기', '다양하다', '소품', '눈길', '카페', '시기', '따르다', '테라스', '부분', '확장', '사용', '전반', '친구', '놀다', '분위기', '\n\n', '커피', '아쉽다', '물맛', '강하다', '적당하다', '고소하다', '쓸다', '특유', '커피', '커피', '에스프레소', '타다', '강하다', '와플', '대비', '퀄리티', '과일', '주스', '종류', '많다', '과일', '주스', '좋아하다', '선호', '\n\n', '화장실', '바로', '건물', '남녀', '공용', '저녁', '시간', '무섭다', '깨끗하다', '정돈', '안되다', '아쉽다']",3,카페
